AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
AASP297 |<i> Prerequisite: AASP100 or AASP202. For AASP majors only. Not open to students who have completed AASP299R. Credit will be granted for only one of the following: AASP297 or AASP299R. Formerly AASP299R. </i> Introduces African American Studies majors to the basic research skills, methodologies, sources, and repositories for studying African Diaspora. Students will be required to select a research topic, write a research proposal, develop an annotated bibliography, and in the process will be prepared for completing their senior thesis or other significant writing projects necessary to fulfill the requirements of the major.| |Research Methods in African American Studies| REG/P-F/AUD 3 (PermReq) 
AASP303 |<i> Prerequisite: STAT100 or SOCY201 or MATH111 or equivalent. </i> Introduction to statistics and database processing software used in model estimation and simulation in policy analysis. Special emphasis on applications for applied research on policy problems confronting minority communities.| |Computer Applications in African American Studies| REG/P-F/AUD 3  
AASP305 |<i> Prerequisites: AASP301 and (STAT100 or BMGT230 or PSYC200 or SOCY201 or ECON321 or equivalent course with permission of department). Formerly AASP401. </i> Theories and concepts in the social and behavioral sciences relating to problems in minority communities. Issues include validity and soundness of theoretical arguments, epistemological questions of various methodologies and the relationship between policy making and policy research.| |Theoretical, Methodological and Policy Research Issues in African American Studies| REG/P-F/AUD 3  
AASP310 |<i> Prerequisite: AASP100 or AASP202 or permission of department. Formerly AASP311. </i> The relationship of the slave trade of Africans to the development of British capitalism and its industrial revolution; and to the economic and social development of the Americas.| |African Slave Trade| REG/P-F/AUD 3  
AASP314 |<i> Prerequisite: AASP100 or HIST157. </i> Survey of the twentieth century civil rights movement from the desegregation of UM Law School through the National Black Political Congress in Gary in 1972. Major themes include leadership, legal and constitutional challenges, non-violence, Black Power, and Pan-Africanism.| |The Civil Rights Movement| REG/P-F/AUD 3  
AASP386 |<i> Prerequisite: Permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AASP396 |<i> Prerequisites: AASP297 (formerly:AASP299R), and AASP386. Senior standing. For AASP majors only. Credit will be granted for only one of the following: AASP396 or AASP397. </i> A research seminar that allows African American Studies majors to complete an independent study research project in lieu of completing the AASP397: Senior Thesis. Students will examine various concepts of race, gender, labor and ethnicity in the seminar lecture component to be applied toward their specific research projects.| |Independent Study Non-Thesis Option| REG 3  
AASP397 |<i> Prerequisite: Permission of department. </i> Directed research in African American Studies resulting in the completion and defense of a senior thesis.| |Senior Thesis| REG/P-F/AUD 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AASP402 |<i> Prerequisite: AASP100 or AASP202. </i> Classic readings of the social, economic and political status of blacks and other minorities in the United States and the Americas.| |Classic Readings in African American Studies| REG/P-F/AUD 3  
AASP441 |<i> Prerequisite: AASP100 or AASP202 or HIST255 or permission of department. </i> Scientific knowledge and skills in solving technological and social problems, particularly those faced by the black community. Examines the evolution and development of African and African American contributions to science. Surveys the impact of technological changes on minority communities.| |Science, Technology, and the Black Community| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
