AASP100 0 0101 35 00001 12 |J. Richardson|
AASP100 0 0102 35 00002 19 |J. Richardson|
AASP100 0 0103 30 00003 8 |J. Richardson|
AASP100 0 0104 35 00004 22 |J. Richardson|
AASP100 0 0105 35 00005 21 |J. Richardson|
AASP100 0 0106 35 00006 24 |J. Richardson|
AASP100H 0 0101 5 00016 1 |J. Richardson|
AASP101 6 0101 39 00026 0 |G. Dinwiddie|
AASP200 17 0101 35 00036 0 |I. Kargbo|
AASP202 0 0101 35 00046 1 |D. Doster|
AASP202 1 0201 35 00049 0 |D. Doster|
AASP202 5 0301 30 00047 0 |R. Choflet|
AASP202 0 0401 35 00048 0 |R. Choflet|
AASP202H 0 0101 5 00058 0 |R. Choflet|
AASP297 0 0101 20 00068 5 |J. Richardson|
AASP298B 3 0101 35 00078 0 |B. Judd|
AASP298W 0 0101 20 00116 11 |V. Turner|
AASP298Z 0 0101 43 00126 18 |R. Zeigler|
AASP303 0 0101 20 00127 3 |B. Ward|
AASP305 0 0101 18 00136 10 |O. Johnson|
AASP310 4 0101 35 00146 0 |I. Kargbo|
AASP314 8 0101 30 00166 0 |M. Murphy|
AASP396 0 0101 10 00187 10 |J. Richardson|
AASP398D 0 0101 35 00319 22 |S. Madhavan|
AASP398Q 0 0101 35 00320 21 |R. Choflet|
AASP402 0 0101 23 00208 2 |D. Terry|
AASP441 4 0101 35 00228 0 |J. Semper|
AASP443 5 0101 35 00238 0 |J. Clark|
AASP498D 0 0101 30 66553 3 |A. Bolles|
AASP498I 4 0101 40 66490 0 |E. Barkley Brown|
AASP498R 19 0101 35 00278 0 |J. England|
AASP498W 9 0101 35 00298 0 |J. England|
AASP498Y 7 0101 20 00308 0 |M. Ditmore|
AASP498Z 0 0101 35 00318 6 |E. Barkley Brown|
AAST200 3 0101 40 00368 0 |J. Park|
AAST201 3 0101 20 00378 0 |L. Mar|
AAST201 0 0102 20 00379 0 |L. Mar|
AAST201 0 0103 20 00380 1 |L. Mar|
AAST201 0 0104 20 00381 1 |L. Mar|
AAST378 0 0101 5 00411 2 |L. Shinagawa|
AAST388 0 0101 5 00421 1 |L. Shinagawa|
AAST388 0 0201 5 00422 5 |L. Mar|
AAST398B 0 0101 40 00431 2 |L. Davis|
AAST398M 0 0101 40 00461 0 |L. Davis|
AAST398P 4 0101 25 00462 0 |L. Shinagawa|
AAST424 2 0201 35 00472 0 |K. Barber|
AAST498A 0 0101 40 66543 7 |K. Tsunoda|
AAST498F 8 0101 20 00474 0 |P. Nash|
AAST498O 2 0101 25 00503 0 |G. Daus|
AAST498V 0 0101 35 66555 0 |J. Caughey|
AAST498W 2 0101 30 66612 0 |D. Thor|
AGNR323 2 0101 24 00552 0 |J. Howard|
AGNR388 0 0101 20 00562 20 |L. Slaughter|
AGNR422 0 0101 1 00572 1 STAFF
AGNR489 0 0101 2 00582 2 |L. Slaughter|
AMSC420 4 0101 25 00632 0 |E. Slud|
AMSC460 1 0101 34 00642 0 |T. von Petersdorff|
AMSC460 2 0201 32 00643 0 |K. Ide|
AMSC466 5 0101 32 00653 0 |M. Tiglio|
AMSC612 0 0101 25 00668 14 |E. Tadmor|
AMSC661 0 0101 30 00678 4 |D. Levy|
AMSC664 0 0101 25 00688 18 |M. Tiglio|
AMSC667 0 0101 25 00698 20 |R. Nochetto|
AMSC671 0 0101 25 00708 19 |S. Antman|
AMSC674 0 0101 25 00718 19 |M. Grillakis|
AMSC698I 0 0101 25 00819 15 |T. von Petersdorff|
AMSC760 0 0101 10 00829 10 STAFF
AMSC762 0 0101 20 00830 19 STAFF
AMST201 7 0101 25 01103 0 |J. Chaplin|
AMST201 4 0102 25 01104 0 |J. Chaplin|
AMST201 7 0201 25 01105 0 |D. Bost|
AMST201 10 0202 25 01106 0 |D. Bost|
AMST203 17 0101 25 01116 0 |S. Maskell|
AMST203 10 0102 25 01117 0 |M. Velazquez|
AMST204 22 0101 25 01127 0 |H. Lehnguth|
AMST204 15 0201 25 01128 0 |H. Lehnguth|
AMST207 0 0101 25 01147 0 |D. Ishii|
AMST207 0 0102 25 01148 2 |T. King|
AMST298B 1 0101 20 01159 0 |N. Struna|
AMST298B 2 0102 20 01160 0 |N. Struna|
AMST298B 1 0103 20 01161 0 |N. Struna|
AMST298B 0 0104 20 01162 0 |N. Struna|
AMST298C 3 0101 40 01168 0 |J. Park|
AMST298U 0 0101 35 66632 19 |C. Perez|
AMST328N 4 0101 35 01178 0 |L. Gordon|
AMST340 0 0101 25 01179 0 |J. Paoletti|
AMST386 0 0601 10 01424 6 |J. Paoletti|
AMST418L 0 0101 35 01221 0 |J. Caughey|
AMST418V 8 0101 20 66559 0 |P. Nash|
AMST429N 40 0101 35 01231 0 |G. Metcalf|
AMST432 23 0101 35 01241 0 |R. Kelly|
AMST450 0 0101 20 01251 0 |S. Parks|
AMST450 0 0201 20 01252 10 |J. Paoletti|
AMST498G 7 0101 35 01272 0 |R. Chester|
AMST498W 21 0101 35 01419 0 |P. Williams-Forson|
AMST498X 2 0101 10 01420 0 |M. Sies|
AMST603 0 0101 15 01292 8 |M. Sies|
AMST628E 0 0101 15 01302 6 |S. Parks|
AMST628J 0 0101 15 01312 10 |J. Caughey|
AMST629C 0 0101 10 66566 0 |M. Sies|
AMST629E 0 0101 12 66531 1 |J. Greene|
AMST629G 0 0101 15 01322 9 |J. McCune|
AMST655 0 0101 15 01332 1 |E. Hughes|
AMST857 0 0201 2 01375 0 |M. Sies|
ANSC212 0 0101 80 01468 4 |E. Orlando and Z. Xiao|
ANSC214 1 0101 20 01478 0 |E. Orlando and Z. Xiao|
ANSC214 0 0102 20 01479 0 |E. Orlando and Z. Xiao|
ANSC214 1 0103 20 01480 0 |E. Orlando and Z. Xiao|
ANSC214 0 0104 20 01481 6 |E. Orlando and Z. Xiao|
ANSC232 0 0101 20 01490 1 |A. Burk|
ANSC232 0 0102 20 01491 2 |A. Burk|
ANSC235 0 0101 30 01501 1 |S. Balcom|
ANSC250 0 0101 80 01531 11 |S. Balcom|
ANSC260 0 0101 20 01541 9 |A. Black|
ANSC315 1 0101 20 01551 0 |R. Erdman|
ANSC315 1 0102 20 01552 0 |R. Erdman|
ANSC315 0 0103 20 01553 0 |R. Erdman|
ANSC327 0 0101 88 01563 0 |F. Harrow-Plante and F. Siewerdt|
ANSC340 0 0101 45 01573 8 |S. Balcom|
ANSC388 0 5301 5 01850 4 |F. Siewerdt|
ANSC420 1 0101 20 01627 0 |R. Peters|
ANSC435 4 0101 12 01637 0 |C. Keefer|
ANSC444 0 0101 60 01647 49 |E. Orlando|
ANSC450 0 0101 40 01657 33 |F. Siewerdt|
ANSC452 0 0101 20 01667 6 |N. Zimmermann|
ANSC453 0 0101 65 01677 2 |W. Stricklin and K. Drnec|
ANSC489B 0 0101 10 01706 1 |J. Halperin|
ANSC644 0 0101 10 01717 1 |E. Orlando and T. Porter|
ANSC688P 0 0101 15 01731 13 |B. Bequette|
ANSC688W 0 0101 6 01750 4 |W. Stricklin|
ANSC688Z 0 0101 20 01751 14 |F. Siewerdt|
ANSC698C 0 0101 30 01760 24 |N. Zimmermann|
ANTH220 25 0101 18 01894 0 |T. Leslie|
ANTH220 23 0102 18 01895 0 |T. Leslie|
ANTH220 30 0103 18 01896 0 |T. Leslie|
ANTH220 25 0104 18 01897 0 |T. Leslie|
ANTH220 22 0105 18 01898 0 |T. Leslie|
ANTH220 27 0106 18 01899 0 |T. Leslie|
ANTH240 6 0101 25 01909 0 |S. Brighton|
ANTH240 6 0102 25 01910 0 |S. Brighton|
ANTH240 7 0103 25 01911 0 |S. Brighton|
ANTH240 3 0201 40 01912 0 |M. Leone|
ANTH240 3 0301 20 01913 0 |A. Fracchia|
ANTH240 2 0302 20 01914 0 |A. Fracchia|
ANTH260 0 0101 27 01924 2 |W. Stuart|
ANTH260 0 0102 27 01925 11 |W. Stuart|
ANTH260 0 0103 27 01926 9 |W. Stuart|
ANTH260 0 0104 27 01927 5 |W. Stuart|
ANTH260 0 0105 27 01928 17 |W. Stuart|
ANTH260 4 0201 36 01929 0 |M. Stevens|
ANTH298I 23 0101 60 66590 0 |L. Frederik Meer|
ANTH340 9 0101 37 01939 0 |M. Palus|
ANTH360 0 0101 22 01961 0 |W. Stuart|
ANTH398F 0 1002 10 02014 10 |E. Chambers|
ANTH398F 0 1003 10 02015 10 |W. Stuart|
ANTH398F 0 1004 10 02016 10 |T. Whitehead|
ANTH398F 0 1005 10 02017 10 |J. Freidenberg|
ANTH398F 0 1006 10 02018 10 |J. Chernela|
ANTH398F 0 1007 10 02019 10 |M. Paolisso|
ANTH398F 0 2002 10 02020 8 |T. Leslie|
ANTH398F 0 3001 10 02021 10 |M. Leone|
ANTH398F 0 3002 10 02022 10 |P. Shackel|
ANTH398F 0 3003 10 02483 10 |S. Brighton|
