AASP297 0 5 0101 20 00068 |J. Richardson|
AASP303 0 4 0101 20 00127 |B. Ward|
AASP305 0 12 0101 18 00136 |O. Johnson|
AASP310 5 0 0101 35 00146 |I. Kargbo|
AASP314 5 0 0101 30 00166 |M. Murphy|
AASP396 0 10 0101 10 00187 |J. Richardson|
AASP402 0 8 0101 23 00208 |D. Terry|
AASP441 2 0 0101 35 00228 |J. Semper|
AASP443 3 0 0101 35 00238 |J. Clark|
AAST378 0 3 0101 5 00411 |L. Shinagawa|
AAST388 0 1 0101 5 00421 |L. Shinagawa|
AAST388 0 5 0201 5 00422 |L. Mar|
AAST398B 0 0 0101 40 00431 |L. Davis|
AAST398M 0 11 0101 40 00461 |L. Davis|
AAST398P 2 0 0101 25 00462 |L. Shinagawa|
AAST424 3 0 0201 35 00472 |K. Barber|
AAST498A 0 17 0101 40 66543 |K. Tsunoda|
AAST498F 9 0 0101 20 00474 |P. Nash|
AAST498O 0 1 0101 25 00503 |G. Daus|
AAST498W 0 14 0101 30 66612 |D. Thor|
AGNR323 0 0 0101 24 00552 |J. Howard|
AGNR388 0 20 0101 20 00562 |L. Slaughter|
AGNR422 0 1 0101 1 00572 STAFF
AMSC420 4 0 0101 25 00632 |E. Slud|
AMSC460 6 0 0101 30 00642 |T. von Petersdorff|
AMSC460 4 0 0201 30 00643 |K. Ide|
AMSC466 6 0 0101 30 00653 |M. Tiglio|
AMSC612 0 18 0101 25 00668 |E. Tadmor|
AMSC661 0 7 0101 30 00678 |D. Levy|
AMSC664 0 19 0101 25 00688 |M. Tiglio|
AMSC667 0 19 0101 25 00698 |R. Nochetto|
AMSC671 0 22 0101 25 00708 |S. Antman|
AMSC674 0 18 0101 25 00718 |M. Grillakis|
AMSC760 0 10 0101 10 00829 STAFF
AMSC762 0 19 0101 20 00830 STAFF
AMST204 16 0 0101 25 01127 |H. Lehnguth|
AMST204 14 0 0201 25 01128 |H. Lehnguth|
AMST340 0 3 0101 25 01179 |J. Paoletti|
AMST386 0 9 0601 10 01424 |J. Paoletti|
AMST418L 4 0 0101 31 01221 |J. Caughey|
AMST418V 9 0 0101 20 66559 |P. Nash|
AMST432 19 0 0101 35 01241 |R. Kelly|
AMST450 0 1 0101 20 01251 |S. Parks|
AMST450 0 11 0201 20 01252 |J. Paoletti|
AMST498W 22 0 0101 35 01419 |P. Williams-Forson|
AMST603 0 9 0101 15 01292 |M. Sies|
AMST655 0 1 0101 15 01332 |E. Hughes|
AMST857 0 1 0201 2 01375 |M. Sies|
ANSC212 0 6 0101 80 01468 |E. Orlando and Z. Xiao|
ANSC214 0 0 0101 20 01478 STAFF
ANSC214 2 0 0102 20 01479 STAFF
ANSC214 0 0 0103 20 01480 STAFF
ANSC214 0 7 0104 20 01481 STAFF
ANSC232 0 1 0101 20 01490 |A. Burk|
ANSC232 0 4 0102 20 01491 |A. Burk|
ANSC235 0 3 0101 30 01501 |S. Balcom|
ANSC250 0 14 0101 80 01531 |S. Balcom|
ANSC260 0 10 0101 20 01541 |A. Black|
ANSC315 1 0 0101 20 01551 |R. Erdman|
ANSC315 2 0 0102 20 01552 |R. Erdman|
ANSC315 0 0 0103 20 01553 |R. Erdman|
